from,to,year,relation,land
Walter_Dornberger,Adolf_Hitler,2,function,1
Wernher_von_Braun,Aggregat_2,2,mission,1
Marshall_Space_Flight_Center,Alabama,4,place,2
Wernher_von_Braun,Alabama,4,place,2
Wernher_von_Braun,Albert_Speer,2,function,1
Joachim_Kuettner,Apollo_Programm,4,mission,2
Kurt_Debus,Apollo_Programm,4,mission,2
Wernher_von_Braun,Apollo_Programm,4,mission,2
Arthur_Rudolph,Army_Ballistic_Missile_Agency,3,function,2
Kurt_Debus,Army_Ballistic_Missile_Agency,3,function,2
Wernher_von_Braun,Army_Ballistic_Missile_Agency,3,function,2
Georg_Rickhey,Arthur_Rudolph,3,function,1
Wernher_von_Braun,Arthur_Rudolph,1,function,1
Wernher_von_Braun,Arthur_Rudolph,2,function,1
Wernher_von_Braun,Arthur_Rudolph,3,function,2
Wernher_von_Braun,Arthur_Rudolph,4,function,2
Joachim_Kuettner,Augsburg,2,place,1
Messerschmitt_AG,Augsburg,2,place,1
Walter_Dornberger,Bell_Air_Craft_Corporation,3,function,2
Walter_Dornberger,Bell_Air_Craft_Corporation,4,function,2
Arthur_Rudolph,Berlin,1,place,1
Arthur_Rudolph,Berlin,2,place,1
Firma_Heylandt,Berlin,1,place,1
Friedrich_Wilhelm_Universitaet,Berlin,2,place,1
Georg_Rickhey,Berlin,1,place,1
Heereswaffenamt,Berlin,1,place,1
Heereswaffenamt,Berlin,2,place,1
Nationalsozialistische_Deutsche_Arbeiterpartei,Berlin,1,place,1
Nationalsozialistische_Deutsche_Arbeiterpartei,Berlin,2,place,1
Reichsluftfahrtministerium,Berlin,2,place,1
Reichsruestungsministerium,Berlin,2,place,1
Schutzstaffel,Berlin,2,place,1
Sturmabteilung,Berlin,2,place,1
Technische_Hochschule_Charlottenburg,Berlin,1,place,1
Technische_Hochschule_Charlottenburg,Berlin,2,place,1
Verein_fuer_Raumschifffahrt,Berlin,2,place,1
Verein_fuer_Raumschifffahrt,Berlin,1,place,1
Walter_Dornberger,Berlin,1,place,1
Wernher_von_Braun,Berlin,1,place,1
Wernher_von_Braun,Berlin,2,place,1
Wernher_von_Braun,Bernhard_Tessmann,2,function,1
Aggregat_2,Borkum,2,place,1
Wernher_von_Braun,Borkum,2,place,1
Verein_fuer_Raumschifffahrt,Breslau,1,place,1
Wernher_von_Braun,Breslau,1,place,1
Bell_Air_Craft_Corporation,Buffalo,3,place,2
Bell_Air_Craft_Corporation,Buffalo,4,place,2
Dyna_Soar,Buffalo,3,place,2
Walter_Dornberger,Buffalo,3,place,2
Walter_Dornberger,Buffalo,4,place,2
Kurt_Debus,Burschenschaft_Markommannia,1,function,1
Geophysical_Research_Directorate,Cambridge,3,place,3
Joachim_Kuettner,Cambridge,3,place,3
Dachauer_Dora_Prozess,Dachau,3,place,1
Arthur_Rudolph,Dachauer_Dora_Prozess,3,function,1
Georg_Rickhey,Dachauer_Dora_Prozess,3,function,1
Wernher_von_Braun,Dachauer_Dora_Prozess,3,function,1
Burschenschaft_Markommannia,Darmstadt,1,place,1
Gestapo,Darmstadt,2,place,1
Joachim_Kuettner,Darmstadt,2,place,1
Kurt_Debus,Darmstadt,1,place,1
Kurt_Debus,Darmstadt,2,place,1
Schutzstaffel,Darmstadt,2,place,1
Sturmabteilung,Darmstadt,2,place,1
Technische_Hochschule_Darmstadt,Darmstadt,,,
Wernher_von_Braun,Dieter_Huzel,2,function,1
Walter_Dornberger,Dyna_Soar,3,mission,2
Wernher_von_Braun,Erich_Warsitz,2,function,1
Wernher_von_Braun,Ernst_Heinkel,2,function,1
Wernher_von_Braun,ETH_Zuerich,1,function,3
Arthur_Rudolph,Firma_Heylandt,1,function,1
Joachim_Kuettner,Forschungsstation_Zugspitze,2,function,1
Army_Ballistic_Missile_Agency,Fort_Bliss,3,place,2
Arthur_Rudolph,Fort_Bliss,3,place,2
Kurt_Debus,Fort_Bliss,3,place,2
US_Army,Fort_Bliss,3,place,2
Wernher_von_Braun,Fort_Bliss,3,place,2
White_Sands_Missile_Range,Fort_Bliss,3,place,2
Wernher_von_Braun,Friedrich_Wilhelm_Universitaet,2,function,1
Adolf_Hitler,Fuehrerhauptquartier_Wolfsschanze,2,place,1
Wernher_von_Braun,Fuehrerhauptquartier_Wolfsschanze,2,place,1
Wernher_von_Braun,Gemini,4,mission,2
Joachim_Kuettner,Geophysical_Research_Directorate,3,function,3
